,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,Case Name
10,https://static.nhtsa.gov/images/vehicles/5080_st0640_046.png,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2008/07Rondo-f.JPG,https://static.nhtsa.gov/crashTest/videos/2008/07Rondo-f.wmv,Not Rated,5,4,https://static.nhtsa.gov/crashTest/images/2008/07Rondo-s.jpg,https://static.nhtsa.gov/crashTest/videos/2008/07Rondo-s.wmv,Not Rated,Not Rated,Not Rated,Not Rated,4,0.0,0.133, ,Not Rated,,,Standard,No,No,97,3,1,2008,KIA,RONDO,2008 Kia Rondo 4-DR. w/SAB,2435,120011
11,https://static.nhtsa.gov/images/vehicles/4912_st0640_046.png,Not Rated,Not Rated,5,5,,,Not Rated,5,Not Rated,https://static.nhtsa.gov/crashTest/images/2008/05Tacoma-s.jpg,https://static.nhtsa.gov/crashTest/videos/2008/05Tacoma-s.wmv,Not Rated,Not Rated,Not Rated,4,4,0.191,0.147,No Tip,Not Rated,,,Optional,No,No,425,11,0,2008,TOYOTA,TACOMA,2008 Toyota Tacoma Regular Cab,2506,120012
12,https://static.nhtsa.gov/images/vehicles/4914_st0640_046.png,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2008/05Tacoma-f.jpg,https://static.nhtsa.gov/crashTest/videos/2008/05Tacoma-f.wmv,Not Rated,5,Not Rated,,,Not Rated,Not Rated,Not Rated,4,4,0.191,0.147,No Tip,Not Rated,,,Optional,No,No,425,11,0,2008,TOYOTA,TACOMA,2008 Toyota Tacoma Extended Cab,2505,120012
13,https://static.nhtsa.gov/images/vehicles/5064_st0640_046.png,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2008/06Tacoma4-f.JPG,https://static.nhtsa.gov/crashTest/videos/2008/06Tacoma4-f.wmv,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2008/06Tacoma4-s.JPG,https://static.nhtsa.gov/crashTest/videos/2008/06Tacoma4-s.mov,Not Rated,Not Rated,Not Rated,4,4,0.191,0.147,No Tip,Not Rated,,,Optional,No,No,425,11,0,2008,TOYOTA,TACOMA,2008 Toyota Tacoma 4-DR.,2504,120012
14,https://static.nhtsa.gov/images/vehicles/8413_st0640_046.png,4,4,4,4,,,4,5,Not Rated,,,4,Not Rated,5,4,Not Rated,0.191,0.0,No Tip,4,,,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/RC 4WD,7180,120015
15,https://static.nhtsa.gov/images/vehicles/8413_st0640_046.png,4,4,4,4,,,4,5,Not Rated,,,4,Not Rated,5,4,Not Rated,0.147,0.0,No Tip,4,,,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/RC 2WD,7179,120015
16,https://static.nhtsa.gov/images/vehicles/8426_st0640_046.png,4,4,4,4,https://static.nhtsa.gov/crashTest/images/2013/v08049P079.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08049C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2013/v08051P001.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08051C001.wmv,4,5,5,4,Not Rated,0.191,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2013/v08050P039.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08050C001.wmv,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/EC 4WD,7178,120015
17,https://static.nhtsa.gov/images/vehicles/8426_st0640_046.png,4,4,4,4,https://static.nhtsa.gov/crashTest/images/2013/v08049P079.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08049C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2013/v08051P001.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08051C001.wmv,4,5,5,4,Not Rated,0.147,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2013/v08050P039.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v08050C001.wmv,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/EC 2WD,7177,120015
18,https://static.nhtsa.gov/images/vehicles/8426_st0640_046.png,4,3,4,3,https://static.nhtsa.gov/crashTest/images/2013/v07502P076.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07502C019.wmv,5,4,5,https://static.nhtsa.gov/crashTest/images/2013/v07103P098.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07103C011.wmv,4,5,5,4,Not Rated,0.147,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2013/v07105P066.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07105C013.wmv,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/CC 2WD,7176,120015
19,https://static.nhtsa.gov/images/vehicles/8426_st0640_046.png,4,3,4,3,https://static.nhtsa.gov/crashTest/images/2013/v07502P076.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07502C019.wmv,5,4,5,https://static.nhtsa.gov/crashTest/images/2013/v07103P098.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07103C011.wmv,4,5,5,4,Not Rated,0.191,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2013/v07105P066.jpg,https://static.nhtsa.gov/crashTest/videos/2013/v07105C013.wmv,Standard,No,No,112,6,1,2013,TOYOTA,TACOMA,2013 Toyota Tacoma PU/CC 4WD,7175,120015
20,https://static.nhtsa.gov/images/vehicles/6759_st0640_046.png,4,3,5,2,https://static.nhtsa.gov/crashTest/images/2011/v06951P034.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06951C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2011/v06944P084.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06944C014.wmv,5,5,5,4,Not Rated,0.139,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2011/v06950P055.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06950C012.wmv,Standard,No,No,597,14,1,2011,TOYOTA,SIENNA,2011 Toyota Sienna VAN AWD,628,120017
